X,PC1,PC2,PC3,PC4,PC5,PC6,Plate,SpawnTrt_Label,bags_label,clean_ID,SpawnTrt_Label_check,bags_label_check,Label_ind,extractPlateWell,extraction_key
238,0.0619988,0.008531298,0.03183287,0.011040796,-0.081964236,-0.017725582,PlDNA_12,NH-GrtBay,MVP-NH-4,A9_CviMVPe_PlDNA_12_70624_d25d1e64,NH-GrtBay,MVP-NH-4,70624,,f2b43bcb
235,0.062356325,0.011942247,0.025455421,-0.016184331,-0.112672904,-0.03512415,PlDNA_13,NH-GrtBay,MVP-NH-6,E6_CviMVPe_PlDNA_13_70620_64ef987c,NH-GrtBay,MVP-NH-6,70620,E6,ac370c5a
31,0.06241262,0.010855048,0.03089398,-0.017605701,-0.11445165,-0.032995424,PlDNA_12,NH-GrtBay,MVP-NH-1,G10_CviMVPe_PlDNA_12_70070_d35482d4,NH-GrtBay,MVP-NH-1,70070,D1,06623ea7
234,0.063127276,0.010797477,0.029140502,-0.019433609,-0.114977932,-0.03387032,PlDNA_12,NH-GrtBay,MVP-NH-6,E4_CviMVPe_PlDNA_12_70619_13f9b326,NH-GrtBay,MVP-NH-6,70619,F9,97a5bb41
218,0.063195829,0.007869521,0.033666756,0.003368484,-0.090062721,-0.022544471,PlDNA_11,NH-GrtBay,MVP-NH-4,H7_CviMVPe_PlDNA_11_70588_4fac6552,NH-GrtBay,MVP-NH-4,70588,H7,885833c0
199,0.063272989,0.011114782,0.028763882,-0.021178933,-0.135900524,-0.041783997,PlDNA_13,NH-GrtBay,MVP-NH-6,H1_CviMVPe_PlDNA_13_70464_ae977b52,NH-GrtBay,MVP-NH-6,70464,G8,ddf17a3d
43,0.063570192,0.012965787,0.028941801,-0.023476212,-0.136591911,-0.041604468,PlDNA_13,NH-GrtBay,MVP-NH-1,C5_CviMVPe_PlDNA_13_70090_591cad8f,NH-GrtBay,MVP-NH-1,70090,C5,ce4119fc
128,0.063649165,0.009563976,0.051855176,0.156785703,0.040313546,0.008487931,PlDNA_13,ME-HogIs,MVP-ME-2,B2_CviMVPe_PlDNA_13_70264_12416136,ME-HogIs,MVP-ME-2,70264,B2,d2ec5fbd
198,0.063917149,0.009517668,0.026949867,-0.010642085,-0.102186981,-0.026955204,PlDNA_11,NH-GrtBay,MVP-NH-6,H8_CviMVPe_PlDNA_11_70463_0f2a9237,NH-GrtBay,MVP-NH-6,70463,H8,393e255c
20,0.063936995,0.012687863,0.027609527,-0.021549239,-0.13467284,-0.039988276,PlDNA_12,NH-GrtBay,MVP-NH-2,G11_CviMVPe_PlDNA_12_70049_59596ff5,NH-GrtBay,MVP-NH-2,70049,G11,4a0f2203
72,0.063951234,0.008087555,0.033985811,0.002391301,-0.093740518,-0.024430168,PlDNA_11,NH-GrtBay,MVP-NH-3,C2_CviMVPe_PlDNA_11_70151_66349050,NH-GrtBay,MVP-NH-3,70151,C2,9cf91753
7,0.064622955,0.00806313,0.025800151,0.005468121,-0.086248945,-0.021280771,PlDNA_11,NH-GrtBay,MVP-NH-2,C1_CviMVPe_PlDNA_11_70010_4f9d34ee,NH-GrtBay,MVP-NH-2,70010,C1,87280d59
76,0.064632051,0.008255399,0.029533815,-0.000903596,-0.104603852,-0.026229278,PlDNA_12,NH-GrtBay,MVP-NH-3,A8_CviMVPe_PlDNA_12_70160_0b339592,NH-GrtBay,MVP-NH-3,70160,A1,428610b9
124,0.064720078,0.007820355,0.041479955,0.063265966,-0.006797052,-0.001219628,PlDNA_11,ME-HogIs,MVP-ME-1,G10_CviMVPe_PlDNA_11_70256_58078266,ME-HogIs,MVP-ME-1,70256,G10,1ce75f9a
32,0.065342172,0.007325868,0.067286924,0.224695722,0.066124665,0.016466564,PlDNA_13,ME-HogIs,MVP-ME-3,F4_CviMVPe_PlDNA_13_70073_bbc4c04f,ME-HogIs,MVP-ME-3,70073,F4,8d915c0c
245,0.06548479,0.006699155,0.041549799,0.086340023,-0.002575843,0.000989883,PlDNA_13,ME-HogIs,MVP-ME-4,E8_CviMVPe_PlDNA_13_70641_c89c653c,ME-HogIs,MVP-ME-4,70641,F7,55287f74
13,0.065489385,0.007604366,0.048202728,0.084257379,0.009100793,0.002914636,PlDNA_11,ME-HogIs,MVP-ME-3,G12_CviMVPe_PlDNA_11_70033_90a37ef6,ME-HogIs,MVP-ME-3,70033,G12,9823fa87
202,0.065514461,0.007176917,0.041403201,0.097091837,0.005810105,0.004657999,PlDNA_13,ME-HogIs,MVP-ME-4,H12_CviMVPe_PlDNA_13_70476_d96e494f,ME-HogIs,MVP-ME-4,70476,F8,94ab9f32
174,0.065768736,0.010584283,0.058215555,0.170790026,0.044174948,0.008555589,PlDNA_11,ME-HogIs,MVP-ME-6,H3_CviMVPe_PlDNA_11_70404_b66d81ac,ME-HogIs,MVP-ME-6,70404,H3,0bb5c956
143,0.065916352,0.004703841,0.042959546,0.113388876,0.019821952,0.00164922,PlDNA_12,ME-HogIs,MVP-ME-2,G9_CviMVPe_PlDNA_12_70308_a78c8bfc,ME-HogIs,MVP-ME-2,70308,G9,f64dbab1
127,0.066024339,0.008837962,0.061200401,0.199222778,0.059963448,0.015135648,PlDNA_13,ME-HogIs,MVP-ME-2,C7_CviMVPe_PlDNA_13_70262_8369c612,ME-HogIs,MVP-ME-2,70262,C7,9c72ddde
